Shape: (285, 45)
Columns (45):
   0: episode_index
   1: frame_index
   2: timestamp
   3: L_sh_pitch
   4: L_sh_roll
   5: L_sh_yaw
   6: L_el_pitch
   7: L_el_roll
   8: L_wr_yaw
   9: L_wr_pitch
  10: R_sh_pitch
  11: R_sh_roll
  12: R_sh_yaw
  13: R_el_pitch
  14: R_el_roll
  15: R_wr_yaw
  16: R_wr_pitch
  17: state_L_sh_pitch
  18: state_L_sh_roll
  19: state_L_sh_yaw
  20: state_L_el_pitch
  21: state_L_el_roll
  22: state_L_wr_yaw
  23: state_L_wr_pitch
  24: state_R_sh_pitch
  25: state_R_sh_roll
  26: state_R_sh_yaw
  27: state_R_el_pitch
  28: state_R_el_roll
  29: state_R_wr_yaw
  30: state_R_wr_pitch
  31: gripper_L
  32: gripper_R
  33: eeL_x
  34: eeL_y
  35: eeL_z
  36: eeL_roll
  37: eeL_pitch
  38: eeL_yaw
  39: eeR_x
  40: eeR_y
  41: eeR_z
  42: eeR_roll
  43: eeR_pitch
  44: eeR_yaw

     episode_index  frame_index  timestamp  L_sh_pitch  L_sh_roll  L_sh_yaw  L_el_pitch  L_el_roll  L_wr_yaw  L_wr_pitch  R_sh_pitch  R_sh_roll  R_sh_yaw  R_el_pitch  R_el_roll  R_wr_yaw  R_wr_pitch  state_L_sh_pitch  state_L_sh_roll  state_L_sh_yaw  state_L_el_pitch  state_L_el_roll  state_L_wr_yaw  state_L_wr_pitch  state_R_sh_pitch  state_R_sh_roll  state_R_sh_yaw  state_R_el_pitch  state_R_el_roll  state_R_wr_yaw  state_R_wr_pitch  gripper_L  gripper_R    eeL_x    eeL_y    eeL_z  eeL_roll  eeL_pitch   eeL_yaw    eeR_x     eeR_y    eeR_z  eeR_roll  eeR_pitch   eeR_yaw
31               0           31   1.033300    0.483380   0.009892  0.009508    0.455243  -0.020284  0.020276   -0.073269   -0.417517   0.004602  0.020524   -0.460351   0.006417  0.014256    0.045156          0.478020         0.004794        0.009346          0.463302        -0.028801        0.016594         -0.071908         -0.432001        -0.001342        0.013161         -0.471313         0.011635        0.005150          0.038720   0.000000   0.000000 0.328432 0.220279 0.758885 -0.016522  -0.045376 -0.031965 0.348257 -0.236440 0.779124  0.002917  -0.087947 -0.034851
32               0           32   1.066700    0.482916   0.010982  0.010044    0.454543  -0.020188  0.021357   -0.073225   -0.405082   0.002894  0.024204   -0.458248   0.010907  0.012478    0.040135          0.478403         0.004794        0.009346          0.463302        -0.026513        0.018502         -0.071908         -0.422797        -0.001342        0.013161         -0.471313         0.010872        0.005150          0.039101   0.000000   0.000000 0.328550 0.220020 0.758753 -0.015738  -0.045082 -0.034062 0.351874 -0.238008 0.781910  0.004696  -0.093289 -0.035704
33               0           33   1.100000    0.482806   0.011282  0.010235    0.454375  -0.020175  0.021640   -0.073339   -0.400750   0.002471  0.025549   -0.457448   0.012930  0.011722    0.037759          0.478403         0.005177        0.009346          0.463302        -0.025750        0.018883         -0.071908         -0.412060        -0.001342        0.013161         -0.471313         0.011254        0.005150          0.038338   0.000000   0.000000 0.328577 0.219932 0.758740 -0.015556  -0.045135 -0.034660 0.353134 -0.238542 0.782764  0.005909  -0.094452 -0.036015
34               0           34   1.133300    0.482682   0.011125  0.010706    0.454188  -0.019895  0.021345   -0.073230   -0.387161  -0.001521  0.027133   -0.452472   0.007292  0.012106    0.036728          0.478403         0.005177        0.009346          0.463302        -0.025368        0.019265         -0.071908         -0.406691        -0.001726        0.013542         -0.470932         0.011254        0.005531          0.037575   0.000000   0.000000 0.328605 0.219752 0.758683 -0.015626  -0.044959 -0.034715 0.356995 -0.239779 0.785540 -0.003602  -0.102245 -0.035787
35               0           35   1.166700    0.482819   0.010452  0.011177    0.454256  -0.019205  0.020305   -0.073135   -0.374208  -0.004380  0.031887   -0.449307   0.014828  0.007969    0.031004          0.478403         0.005177        0.009346          0.463302        -0.025368        0.019265         -0.072290         -0.392885        -0.001726        0.014305         -0.467117         0.010872        0.005150          0.037575   0.000000   0.000000 0.328561 0.219614 0.758643 -0.015724  -0.044788 -0.033798 0.360725 -0.241649 0.788116 -0.000345  -0.106390 -0.034875
36               0           36   1.200000    0.482914   0.010069  0.011384    0.454081  -0.018769  0.019744   -0.074161   -0.365011  -0.004350  0.033970   -0.446443   0.017648  0.007818    0.027009          0.478403         0.005177        0.009346          0.463302        -0.024987        0.019265         -0.072290         -0.377162        -0.001726        0.017357         -0.460250         0.012016        0.004768          0.034142   0.000000   0.000000 0.328514 0.219561 0.758688 -0.015714  -0.045539 -0.033238 0.363326 -0.242560 0.789672  0.002054  -0.108734 -0.036756
37               0           37   1.233300    0.482985   0.009206  0.011863    0.454114  -0.018576  0.018795   -0.073666   -0.350358  -0.008325  0.034787   -0.439308   0.011448  0.008110    0.024831          0.478403         0.005177        0.009346          0.463302        -0.024605        0.019265         -0.072290         -0.369109        -0.001726        0.019265         -0.457198         0.012398        0.004768          0.031472   0.000000   0.000000 0.328491 0.219388 0.758593 -0.016483  -0.045016 -0.032291 0.367463 -0.243519 0.791917 -0.007677  -0.114268 -0.036003
38               0           38   1.266700    0.482781   0.009063  0.012064    0.454127  -0.018349  0.018354   -0.072790   -0.339946  -0.010128  0.036178   -0.434256   0.013777  0.005793    0.021107          0.478403         0.005177        0.009346          0.463302        -0.023461        0.018883         -0.072290         -0.354153        -0.002109        0.024224         -0.450332         0.012016        0.004768          0.027657   0.000000   0.000000 0.328559 0.219345 0.758532 -0.016456  -0.044350 -0.031985 0.370435 -0.244081 0.793169 -0.007390  -0.115954 -0.034346
39               0           39   1.300000    0.482774   0.008770  0.012600    0.454480  -0.017862  0.017944   -0.072196   -0.324987  -0.012877  0.035415   -0.428844   0.012562  0.004255    0.010554          0.478403         0.005177        0.009346          0.463302        -0.021935        0.018883         -0.072290         -0.339964        -0.004027        0.028038         -0.444228         0.012016        0.004768          0.024224   0.000000   0.000000 0.328576 0.219132 0.758588 -0.016460  -0.044112 -0.031939 0.374815 -0.243967 0.795024 -0.010636  -0.115002 -0.031160
40               0           40   1.333300    0.482628   0.008832  0.012772    0.454557  -0.017925  0.017868   -0.071557   -0.318317  -0.014069  0.034812   -0.425952   0.010744  0.003945    0.006071          0.478403         0.005177        0.009346          0.463302        -0.021553        0.018883         -0.072290         -0.332294        -0.005944        0.029564         -0.440795         0.012016        0.004005          0.018120   0.000000   0.000000 0.328629 0.219076 0.758573 -0.016539  -0.043696 -0.032048 0.376760 -0.243861 0.795706 -0.013228  -0.114319 -0.029921
